HYPOTHESIS,new_column,Random
1,1,0.21064574482986664
1,20,0.21099426660989262
1,11,0.027357836880772646
1,84,0.2511932688957914
1,81,0.3011862660499077
1,18,0.3119221318098382
-1,9,0.944267598510987
1,38,0.04192715372949729
-1,17,0.08026030874831536
1,6,0.8284349138377154
-1,15,0.028175539836657992
-1,7,0.15839779345989158
1,25,0.08325642662896948
1,90,0.8669697147649179
1,43,0.030354046903482312
-1,74,0.948556134525109
1,37,0.8425173818684849
1,23,0.6512532640728859
-1,90,0.041262003876452846
1,51,0.7743285208071352
1,85,0.6461859806368383
1,73,0.009650037191001437
1,39,0.7828483952921835
1,20,0.7130402115080302
-1,15,0.2875423764076974
1,91,0.688270035834687
-1,21,0.6510672960061086
-1,38,0.072223454274436
-1,17,0.7548998293842933
1,89,0.39003564993117124
1,68,0.731951972419631
-1,80,0.9996233079670389
1,12,0.46196991624799877
1,24,0.4058603641552563
-1,54,0.7456934719480991
1,81,0.9494715245539997
1,19,0.7024116349286331
-1,66,0.42316745711647585
1,30,0.9232981846746429
1,70,0.5162731664734875
1,40,0.68457141419525
1,50,0.12165412994377467
1,30,0.7454291353325833
1,40,0.980297615435498
1,83,0.667656747562234
1,91,0.9999021653302019
1,83,0.27913528347855077
-1,46,0.23652556506095757
-1,15,0.23964692247192665
1,41,0.544066699840306
1,31,0.8958850076773132
-1,1,0.9920099099029903
1,91,0.4374935832856043
-1,23,0.6166540437383476
1,90,0.4052435242140907
1,71,0.9468108503850711
1,33,0.6680579108546536
1,97,0.6397944020137531
1,54,0.7569740962505375
1,22,0.6405195077786222
1,40,0.05581377531793874
1,83,0.5952475126964172
1,14,0.12301787080270155
1,94,0.8773382896287216
1,26,0.4905150532966651
1,34,0.5340664744210962
-1,55,0.9693696950510065
-1,54,0.7033243063357517
-1,72,0.8972632193359947
-1,89,0.3969116077312419
1,54,0.37149436848152106
1,21,0.6711738225749614
1,77,0.3533027492167117
1,71,0.01686021236532742
1,22,0.5489165563689545
1,40,0.827368273283493
1,25,0.9313994060049386
1,66,0.5099318680174956
-1,10,0.19835560506930994
-1,15,0.09698182459092675
1,51,0.48231829545100136
1,32,0.24783130588592472
1,87,0.07640472712891877
-1,16,0.5611129299833088
-1,14,0.33713614095050737
1,20,0.012024262433228072
-1,34,0.14513923197244605
1,80,0.6891727043879049
1,70,0.010283216463183198
-1,76,0.3591043552369655
1,73,0.45704187769370996
-1,41,0.6162263676912509
-1,44,0.648344642374048
1,18,0.7939376751697024
1,35,0.04292063613796693
1,81,0.0763806979715349
1,96,0.2969607343744921
1,2,0.07138451420303493
1,22,0.424259736427096
1,2,0.28229256070005526
-1,25,0.8066265267170099
1,68,0.20750469271206684
1,89,0.519492955959081
-1,59,0.2512824385744119
-1,25,0.5091473358144055
1,39,0.7268007013245177
-1,74,0.1096659424677
-1,49,0.054906251160743436
1,44,0.11495314689042202
1,71,0.4561324238633373
1,96,0.19006424089243323
1,52,0.7067517787359808
1,73,0.1690022671785748
1,86,0.6921104953711901
1,50,0.151514326007386
-1,21,0.01595186562608386
1,56,0.7653691691794836
1,68,0.1764481522059751
1,69,0.15422488197060935
1,97,0.8424915820522554
1,52,0.7169859285557216
1,96,0.9841859862386386
-1,78,0.015442238175931933
1,63,0.40964851150729786
-1,60,0.313223447316454
1,45,0.35694294446401353
-1,39,0.8060130472196853
1,31,0.33363386075791357
1,38,0.567427733221005
1,21,0.6345546614910585
1,81,0.2157604383107482
1,14,0.636720272102393
1,71,0.33530505365341856
-1,76,0.9617308578055814
1,20,0.7003996594837545
1,83,0.328843549616068
-1,80,0.6448832295366823
-1,35,0.3686261203217007
-1,55,0.45739161628044533
1,15,0.9338347725659174
1,53,0.42566272805801497
1,82,0.7977298336964616
1,23,0.8683790949432052
1,20,0.9722255380323799
1,45,0.2280684250699907
1,33,0.5738700690336856
1,64,0.3614998443557367
1,2,0.5217500341430822
1,98,0.45048044932577325
1,93,0.682035330522258
-1,47,0.9382132644935027
-1,80,0.8824568512356268
-1,37,0.07449316177554621
1,23,0.43220147886204285
1,55,0.7109844103638461
1,7,0.05213023173423981
1,89,0.7897836484512004
1,15,0.9794160844926155
-1,56,0.2753897097058131
1,98,0.35698933488768514
1,54,0.3504524410898625
1,19,0.9718204427225247
-1,9,0.9817651462008398
1,94,0.015699282725891384
1,84,0.2696149377439806
1,49,0.5127801104358836
1,18,0.08488407249842567
1,17,0.5330658778047855
-1,8,0.4942626997085102
1,27,0.7105589689230479
1,24,0.3665331854989088
1,99,0.7047920460403078
1,60,0.7274806778480603
1,12,0.5734011971103015
1,26,0.007794519702966296
-1,36,0.03966531063429679
-1,81,0.03649752346087676
1,12,0.8832084885345279
-1,43,0.7166535296064296
1,96,0.3387945189981293
1,39,0.9839184802632054
-1,35,0.49254649655148386
-1,16,0.18217054220866014
1,53,0.24743625820949655
1,81,0.6410888184466633
1,99,0.93771196093974
-1,99,0.6665128980267191
1,64,0.37648391249134605
1,81,0.41148775526025816
1,71,0.8753677933819849
-1,87,0.7734036830777109
1,9,0.7018368240197715
-1,76,0.39177965856582697
-1,80,0.5815797896943501
1,20,0.6013196428242952
1,6,0.7191953271934529
-1,81,0.054392611210437924
1,67,0.1605279726604143
1,20,0.8437367777387886
1,26,0.3333401986638649
1,41,0.8065648150715319
-1,82,0.5360905590984627
1,26,0.05848402699106525
1,19,0.9557451803190115
1,42,0.5501912611857064
-1,9,0.49749276695764155
1,33,0.5298323275198278
-1,1,0.16652183411887467
-1,42,0.34647314969164267
-1,1,0.5042634861360621
1,64,0.4047653179463492
1,53,0.8713173324754564
1,1,0.5006584482216209
1,9,0.7388812468554699
1,16,0.4530478889986346
1,95,0.9481832933733084
1,50,0.31896088952602053
1,49,0.11300216391225304
1,43,0.9226402275898605
1,16,0.26106292699463407
1,4,0.9011720495710555
1,12,0.10752541704346263
1,41,0.9376973162098614
-1,11,0.6033561755713054
1,75,0.016691263843691684
-1,98,0.5161898758587539
1,73,0.43907530854330823
-1,78,0.9436979958961045
1,63,0.8112407566241082
1,76,0.965556451314637
-1,91,0.18683303660254424
1,21,0.012229546510841183
1,86,0.15538329284955577
-1,56,0.6835759458447653
1,88,0.7544282474269939
1,84,0.6655066464195772
-1,27,0.9103001755324184
1,21,0.813683199819255
-1,41,0.27360908178451504
1,38,0.47256433920207364
1,50,0.24760670178474664
1,18,0.8235954209047126
1,6,0.949417841559017
1,57,0.47895820851414006
1,30,0.6211150698240111
-1,23,0.034438873371199774
1,16,0.8163739147611404
1,23,0.06142369217215504
-1,14,0.08788120660325638
1,60,0.8698307408848504
1,91,0.4438586548829473
1,44,0.854423305595126
1,41,0.5721104554930722
1,60,0.03600824788672918
1,75,0.3967169978220966
1,26,0.8038384918248372
1,83,0.5711434223771024
1,81,0.48250326543173805
1,86,0.45563376439765146
-1,90,0.20353560299126972
1,57,0.8104904128037168
-1,57,0.16719734554634358
1,79,0.12540563391024107
1,24,0.5405175440832124
1,71,0.4936436800764119
-1,70,0.6690670408746126
-1,75,0.2869721745782583
1,51,0.5790181091417075
1,99,0.9932140151732157
-1,8,0.7392545924848231
1,72,0.06559526533153703
1,38,0.35525701060316095
1,9,0.08977154856480163
1,64,0.417365824798274
1,90,0.2444542337857608
1,31,0.21437543079855925
1,74,0.2828792217803594
1,96,0.32619655377599044
-1,22,0.6944887544336489
1,36,0.2828864858613577
-1,53,0.8305518830537215
1,72,0.9419073590328311
-1,2,0.8332385174895741
1,67,0.024606000451249388
-1,54,0.21259912332266717
-1,53,0.4132124992173738
1,68,0.5272723922567475
1,58,0.09715373309459707
-1,67,0.9113942830248729
-1,20,0.5045215867444016
1,30,0.26481866866421566
1,39,0.7592079928687242
1,4,0.909701272501229
-1,98,0.03727266727702572
-1,16,0.505663200656411
1,51,0.9902486885354044
-1,99,0.7181665514756749
-1,88,0.8917284826153075
1,57,0.043848967738401634
-1,13,0.47255898563099474
1,14,0.5168132066422628
1,39,0.162681501683144
1,6,0.7487142969155836
1,14,0.9461734951272799
-1,53,0.12179152596875231
-1,5,0.2516175024771711
-1,78,0.7186390259889872
1,41,0.14561592047689698
1,5,0.6300483274786186
1,95,0.11603909108913968
1,95,0.3886813786482304
1,88,0.40032181102887066
1,30,0.10814329415931456
1,15,0.8893884763301682
1,90,0.1643338577380722
1,77,0.6606359827132579
1,32,0.09554511743319105
1,96,0.8040944441227282
-1,94,0.16958535275494346
1,20,0.8381746327136468
-1,40,0.19451490288124684
1,96,0.4960872306600075
1,78,0.7413982918038439
-1,95,0.11106637039172751
-1,67,0.7439764325412096
-1,51,0.9152479169409695
1,63,0.24915543826610576
-1,38,0.03412484276007488
1,62,0.9442664641327274
-1,22,0.6111077777435692
1,52,0.629853462899629
1,51,0.04141066660632686
-1,6,0.19809374227716003
1,3,0.6369218297492831
1,93,0.2911782570007787
-1,88,0.6711414928636149
1,65,0.06907064987669931
-1,46,0.6901220524541317
1,27,0.9135918948735817
1,5,0.8028840453044809
1,48,0.25405556799532225
1,22,0.3501913498462089
1,81,0.34210998000837567
1,21,0.7057698842368918
1,40,0.6011120351471204
1,25,0.15849794040473741
-1,86,0.8103924102908359
-1,93,0.45362389750832477
-1,1,0.08171586231732575
1,77,0.8460479652274204
-1,64,0.0065951614839413475
1,41,0.7943419385633711
1,76,0.8116782124146035
1,3,0.8225970837254559
-1,10,0.5123071378696556
1,63,0.08793704594946938
-1,44,0.8041410088570278
1,25,0.5060175347512681
1,89,0.616425382924936
1,81,0.2289075222416379
1,50,0.4277546631628485
1,72,0.6540262711680208
1,81,0.5724795018670956
1,3,0.7889115782272695
1,16,0.6606665633323073
1,93,0.6847819846458757
1,71,0.6429198325974814
1,17,0.01238247787611535
1,5,0.8307677450516505
1,22,0.6298311455237107
1,61,0.1588342276254242
1,32,0.7324313205387247
1,5,0.533332265265471
1,48,0.22909537868412244
1,37,0.28331084653162186
1,25,0.851502271066963
1,52,0.49655031660259363
1,24,0.4467282903071681
1,23,0.24587437588009498
1,73,0.8681781160272797
-1,75,0.013359437278349873
-1,31,0.6864787235157847
1,84,0.6953175818976193
1,10,0.03718304328435995
1,28,0.47334281616285456
1,32,0.6954732436629784
1,69,0.39675856281990274
1,86,0.09304120540053784
-1,50,0.05490023406931621
1,54,0.06714609313500763
1,47,0.9806124512344666
1,98,0.9511950335900917
1,65,0.4484440257827992
1,45,0.33256487192575523
1,92,0.48078907742833743
1,26,0.26159939816724187
-1,69,0.7970584283466655
1,23,0.44915187459271755
1,58,0.6911484264569329
1,14,0.4158488829565413
-1,89,0.09139873073611482
-1,73,0.12745104726150958
-1,76,0.8749234181739647
-1,44,0.769749846145229
-1,41,0.03985239689796871
-1,56,0.2761162231889117
-1,32,0.4430753400691976
-1,22,0.1924411036248318
-1,35,0.23593252380073015
-1,90,0.26054141802208497
-1,53,0.7202798190384091
-1,68,0.8121185445628756
-1,6,0.9575332136192946
-1,14,0.7077811775089329
-1,51,0.45400182038826453
-1,47,0.854953894765663
-1,16,0.35097959057686423
-1,70,0.8909239960099861
-1,75,0.11720500403664702
-1,7,0.687241414636514
-1,76,0.30383810635818487
-1,31,0.2226536900047852
-1,33,0.6188322276865822
-1,66,0.6133807245450758
-1,69,0.9068783289904788
-1,61,0.3208510376402085
-1,57,0.024005832850164666
-1,41,0.22077740721229133
-1,18,0.5129901485587561
-1,94,0.4569582029557434
-1,71,0.2589298428510808
-1,95,0.8824984515852043
-1,41,0.10795459754645076
-1,51,0.6972340401313102
-1,91,0.4903593353533935
-1,34,0.1864332959040339
-1,43,0.8791207363381471
-1,26,0.9775707253985605
-1,92,0.047005169614774744
-1,47,0.14232470502345163
-1,96,0.500129038085418
-1,89,0.34223298720000184
-1,12,0.528443318484982
-1,31,0.06292284929694314
-1,35,0.8318392848120066
-1,25,0.6726278942342307
-1,41,0.4366594945848745
-1,74,0.9592598665498322
-1,22,0.11506972978117147
-1,82,0.7753463221433281
-1,44,0.8854554458252882
-1,68,0.9795789210005328
-1,67,0.9750687743792491
-1,73,0.47074691434545546
-1,47,0.21928948402734294
-1,25,0.2931537581647038
-1,45,0.32300510062134413
-1,89,0.8448611992304789
-1,40,0.3853825184886771
-1,40,0.5829915948313521
-1,10,0.8588290999538507
-1,29,0.7153269385800108
-1,62,0.11887929899368299
-1,40,0.20987158795828242
-1,31,0.12268719945649653
-1,15,0.34750624350218373
-1,58,0.8013987854181901
-1,25,0.4960330430520732
-1,95,0.7582789871208623
-1,93,0.07884773446172733
-1,85,0.3106909639799129
-1,68,0.8979756132556949
-1,4,0.5942200310655055
-1,84,0.6809658543083549
-1,65,0.5429198510466611
-1,28,0.2294386626543774
-1,11,0.5562201503547418
-1,51,0.881766608968483
-1,85,0.8893472339010402
-1,72,0.05535271631093974
-1,43,0.6227999370707784
-1,35,0.10579666279262456
-1,12,0.6699354303509949
-1,98,0.7377568478004212
-1,58,0.5858537045925415
-1,49,0.9102951943239249
-1,85,0.29656677338736026
-1,56,0.022684394743808012
-1,69,0.5093424160913342
-1,12,0.39024303186277043
-1,40,0.36708693413923577
-1,76,0.7319517459766994
-1,38,0.5672557729104051
-1,68,0.06667463487569714
-1,16,0.8839960391919462
-1,49,0.9770163568002004
-1,52,0.9834116112592785
-1,54,0.3103015783637232
-1,49,0.6265607635448603
-1,38,0.771324388902628
-1,37,0.4668488056399184
-1,15,0.5958482205573677
-1,62,0.6242937772216068
-1,60,0.9885177635574847
-1,61,0.3663803590326751
-1,55,0.8956989451407579
-1,52,0.5132754024201487
-1,14,0.726874547941631
-1,6,0.9317032098736985
-1,78,0.10075234845951997
-1,50,0.8222952960643561
-1,54,0.12827070791500017
-1,52,0.812150977630376
-1,86,0.4701046367708408
-1,64,0.22026574487283557
-1,24,0.5353930444969519
-1,56,0.5245726561657283
-1,39,0.48697573449459364
-1,88,0.7082269776058358
-1,9,0.6043348247553317
-1,28,0.9258103333052076
-1,18,0.10810956833172969
-1,88,0.7899799287758436
-1,27,0.3811653824989064
-1,10,0.14456264986074108
-1,54,0.2800863210809993
-1,24,0.3541074330410644
-1,25,0.9879057815715813
-1,38,0.3491292290634931
-1,82,0.705274164861598
-1,7,0.6110177587400631
-1,62,0.8514592897454166
-1,59,0.3987450875913411
-1,1,0.515159944660904
-1,84,0.6698674045074877
-1,35,0.20528505308908407
-1,60,0.8442355902540175
-1,68,0.6869246652499675
-1,77,0.9976849220316569
-1,58,0.9151775324228654
-1,21,0.5704833950816616
-1,71,0.7746912283799873
-1,75,0.35635475234199276
-1,41,0.23155746099754637
-1,72,0.9568028216178784
-1,10,0.8669269641779187
-1,55,0.7595966233563652
-1,54,0.46480571112496594
-1,94,0.27517993395564944
-1,74,0.6599573535588789
-1,90,0.6031722354805835
-1,64,0.7831774795728057
-1,2,0.805696692374794
-1,39,0.7244622563635091
-1,88,0.174966579998599
-1,50,0.446394041663165
-1,16,0.6477057195526016
-1,73,0.30758984053693206
-1,59,0.24215839151118068
-1,78,0.8896161568696487
-1,50,0.8014484911163923
-1,68,0.8665585166934996
-1,74,0.4178444322680348
-1,48,0.7022410400016817
-1,47,0.412286396004392
-1,93,0.1300406395745275
-1,22,0.13165267912673784
-1,93,0.7501293560686975
-1,97,0.15078718627102594
-1,45,0.970188545725137
-1,20,0.5336741741217347
-1,22,0.9302509865753075
-1,84,0.9622912696808184
-1,5,0.03631311747230859
-1,64,0.47169584864326175
-1,47,0.273975823504789
